iteration=1, cost value=-0.35243, tau=0.00500, solver status=optimal
iteration=2, cost value=1.16335, tau=0.00600, solver status=optimal
iteration=3, cost value=1.16335, tau=0.00720, solver status=optimal
iteration=1, cost value=0.60754, tau=0.00500, solver status=optimal
iteration=2, cost value=1.28373, tau=0.00600, solver status=optimal
iteration=3, cost value=1.28373, tau=0.00720, solver status=optimal
iteration=1, cost value=-0.03929, tau=0.00500, solver status=optimal
iteration=2, cost value=1.16407, tau=0.00600, solver status=optimal
iteration=3, cost value=1.22812, tau=0.00720, solver status=optimal
iteration=4, cost value=1.23262, tau=0.00864, solver status=optimal
iteration=5, cost value=1.23262, tau=0.01037, solver status=optimal
iteration=1, cost value=0.96114, tau=0.00500, solver status=optimal
iteration=2, cost value=1.28373, tau=0.00600, solver status=optimal
iteration=3, cost value=1.28373, tau=0.00720, solver status=optimal
iteration=1, cost value=0.60178, tau=0.00500, solver status=optimal
iteration=2, cost value=1.16335, tau=0.00600, solver status=optimal
iteration=3, cost value=1.16335, tau=0.00720, solver status=optimal
iteration=1, cost value=0.74405, tau=0.00500, solver status=optimal
iteration=2, cost value=1.16335, tau=0.00600, solver status=optimal
iteration=3, cost value=1.16335, tau=0.00720, solver status=optimal
iteration=1, cost value=0.91389, tau=0.00500, solver status=optimal
iteration=2, cost value=1.28373, tau=0.00600, solver status=optimal
iteration=3, cost value=1.28373, tau=0.00720, solver status=optimal
iteration=1, cost value=0.65237, tau=0.00500, solver status=optimal
iteration=2, cost value=1.28373, tau=0.00600, solver status=optimal
iteration=3, cost value=1.28373, tau=0.00720, solver status=optimal
iteration=1, cost value=-0.40007, tau=0.00500, solver status=optimal
iteration=2, cost value=1.16335, tau=0.00600, solver status=optimal
iteration=3, cost value=1.16335, tau=0.00720, solver status=optimal
iteration=1, cost value=-0.56454, tau=0.00500, solver status=optimal
iteration=2, cost value=1.16335, tau=0.00600, solver status=optimal
iteration=3, cost value=1.16335, tau=0.00720, solver status=optimal
